NDays,Month,"DC04","SC2","SC3","SC4","Load test","CSA06","Production","Debug","Total Data"
31,"2011-07",0.00,0.00,0.00,0.00,0.00,0.00,2337.48,2634.68,4972.16
31,"2011-08",0.00,0.00,0.00,0.00,0.00,0.00,2259.34,2637.73,4897.07
30,"2011-09",0.00,0.00,0.00,0.00,0.00,0.00,1967.41,2560.56,4527.97
31,"2011-10",0.00,0.00,0.00,0.00,0.00,0.00,3619.84,2670.63,6290.47
30,"2011-11",0.00,0.00,0.00,0.00,0.00,0.00,2455.18,2415.23,4870.41
31,"2011-12",0.00,0.00,0.00,0.00,0.00,0.00,4014,2932.44,6946.44
31,"2012-01",0.00,0.00,0.00,0.00,0.00,0.00,1506.86,3400.69,4907.55
29,"2012-02",0.00,0.00,0.00,0.00,0.00,0.00,1493.78,3742.34,5236.12
31,"2012-03",0.00,0.00,0.00,0.00,0.00,0.00,1886.71,5906.06,7792.77
30,"2012-04",0.00,0.00,0.00,0.00,0.00,0.00,2052.67,2809.81,4862.48
31,"2012-05",0.00,0.00,0.00,0.00,0.00,0.00,4472.58,2999.01,7471.59
30,"2012-06",0.00,0.00,0.00,0.00,0.00,0.00,4293.46,2925.74,7219.20
31,"2012-07",0.00,0.00,0.00,0.00,0.00,0.00,3040.02,2488.9,5528.92
31,"2012-08",0.00,0.00,0.00,0.00,0.00,0.00,5376.48,2402.24,7778.72
30,"2012-09",0.00,0.00,0.00,0.00,0.00,0.00,4732.84,2393.54,7126.38
31,"2012-10",0.00,0.00,0.00,0.00,0.00,0.00,4948.14,3071.74,8019.88
30,"2012-11",0.00,0.00,0.00,0.00,0.00,0.00,4421.34,2775.12,7196.46
31,"2012-12",0.00,0.00,0.00,0.00,0.00,0.00,2879.21,2834.32,5713.53
31,"2013-01",0.00,0.00,0.00,0.00,0.00,0.00,2641.76,2316.32,4718.98
28,"2013-02",0.00,0.00,0.00,0.00,0.00,0.00,3386.69,2050.68,5437.37
31,"2013-03",0.00,0.00,0.00,0.00,0.00,0.00,4395.17,2014.48,6409.65
30,"2013-04",0.00,0.00,0.00,0.00,0.00,0.00,4614.34,2140.05,6754.39
31,"2013-05",0.00,0.00,0.00,0.00,0.00,0.00,1911.64,1752.07,3663.71
30,"2013-06",0.00,0.00,0.00,0.00,0.00,0.00,2198.37,1901.31,4099.68
31,"2013-07",0.00,0.00,0.00,0.00,0.00,0.00,2094.58,2544.86,4639.44
31,"2013-08",0.00,0.00,0.00,0.00,0.00,0.00,3302.38,3172.26,6474.64
30,"2013-09",0.00,0.00,0.00,0.00,0.00,0.00,2649.34,3255.74,5905.08
31,"2013-10",0.00,0.00,0.00,0.00,0.00,0.00,3016.59,4196.43,7213.02
30,"2013-11",0.00,0.00,0.00,0.00,0.00,0.00,2232.82,2989.99,5222.81
31,"2013-12",0.00,0.00,0.00,0.00,0.00,0.00,2333.67,2855.05,5188.72
31,"2014-01",0.00,0.00,0.00,0.00,0.00,0.00,6319.99,3595.05,9915.04
28,"2014-02",0.00,0.00,0.00,0.00,0.00,0.00,5673.78,3656.73,9330.51
31,"2014-03",0.00,0.00,0.00,0.00,0.00,0.00,4443.97,3017.8,7461.77
30,"2014-04",0.00,0.00,0.00,0.00,0.00,0.00,4674.43,2358.85,7033.28
31,"2014-05",0.00,0.00,0.00,0.00,0.00,0.00,4338.36,2447.71,6786.07
30,"2014-06",0.00,0.00,0.00,0.00,0.00,0.00,3425.93,2681.91,6107.84
31,"2014-07",0.00,0.00,0.00,0.00,0.00,0.00,2788.33,5012.07,7800.4
31,"2014-08",0.00,0.00,0.00,0.00,0.00,0.00,2510.35,6437.18,8947.53
30,"2014-09",0.00,0.00,0.00,0.00,0.00,0.00,2662.03,9283.9,11945.93
31,"2014-10",0.00,0.00,0.00,0.00,0.00,0.00,2493.74,8584.14,11077.88
30,"2014-11",0.00,0.00,0.00,0.00,0.00,0.00,2453.63,9156.73,11610.36
31,"2014-12",0.00,0.00,0.00,0.00,0.00,0.00,2212.28,8471.64,10683.92
31,"2015-01",0.00,0.00,0.00,0.00,0.00,0.00,1878.52,7282.35,9160.87
28,"2015-02",0.00,0.00,0.00,0.00,0.00,0.00,4039.6,4574.21,8613.81
31,"2015-03",0.00,0.00,0.00,0.00,0.00,0.00,5116.31,5603.43,10719.74
30,"2015-04",0.00,0.00,0.00,0.00,0.00,0.00,6686.43,5576.01,12262.44
31,"2015-05",0.00,0.00,0.00,0.00,0.00,0.00,7581.21,4462.35,12043.56
18,"2015-06",0.00,0.00,0.00,0.00,0.00,0.00,6274.33,2390.27,8664.6
